Images,Labels
artifacts/data_ingestion/data/dataset\sandstorm\3131.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rime\5913.jpg,rime
artifacts/data_ingestion/data/dataset\snow\1279.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3578.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2134.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4773.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\4073.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\1867.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4903.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rime\5853.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6493.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\2166.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\4005.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4570.jpg,fogsmog
artifacts/data_ingestion/data/dataset\lightning\2018.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0584.jpg,hail
artifacts/data_ingestion/data/dataset\frost\3630.jpg,frost
artifacts/data_ingestion/data/dataset\hail\0444.jpg,hail
artifacts/data_ingestion/data/dataset\rain\1806.jpg,rain
artifacts/data_ingestion/data/dataset\rain\1604.jpg,rain
artifacts/data_ingestion/data/dataset\snow\1241.jpg,snow
artifacts/data_ingestion/data/dataset\rime\5605.jpg,rime
artifacts/data_ingestion/data/dataset\rainbow\0792.jpg,rainbow
artifacts/data_ingestion/data/dataset\lightning\1938.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1424.jpg,rain
artifacts/data_ingestion/data/dataset\rainbow\0608.jpg,rainbow
artifacts/data_ingestion/data/dataset\rime\5880.jpg,rime
artifacts/data_ingestion/data/dataset\lightning\2084.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6164.jpg,glaze
artifacts/data_ingestion/data/dataset\sandstorm\3001.jpg,sandstorm
artifacts/data_ingestion/data/dataset\dew\2896.jpg,dew
artifacts/data_ingestion/data/dataset\rainbow\0761.jpg,rainbow
artifacts/data_ingestion/data/dataset\rime\5934.jpg,rime
artifacts/data_ingestion/data/dataset\sandstorm\3527.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2126.jpg,lightning
artifacts/data_ingestion/data/dataset\dew\2786.jpg,dew
artifacts/data_ingestion/data/dataset\rain\1185.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6615.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4709.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\3871.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1584.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6090.jpg,glaze
artifacts/data_ingestion/data/dataset\frost\3726.jpg,frost
artifacts/data_ingestion/data/dataset\snow\1218.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6365.jpg,glaze
artifacts/data_ingestion/data/dataset\dew\2654.jpg,dew
artifacts/data_ingestion/data/dataset\rain\1532.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5006.jpg,rime
artifacts/data_ingestion/data/dataset\dew\2273.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3516.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rime\5100.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6158.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6203.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0711.jpg,rainbow
artifacts/data_ingestion/data/dataset\dew\2239.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2675.jpg,dew
artifacts/data_ingestion/data/dataset\fogsmog\4672.jpg,fogsmog
artifacts/data_ingestion/data/dataset\hail\0082.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4633.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rime\5069.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6715.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4440.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\1182.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2810.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2548.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2479.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\2137.jpg,lightning
artifacts/data_ingestion/data/dataset\snow\0876.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\2025.jpg,lightning
artifacts/data_ingestion/data/dataset\dew\2775.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\1944.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1679.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6145.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\2017.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0016.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0395.jpg,hail
artifacts/data_ingestion/data/dataset\rain\1290.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2344.jpg,dew
artifacts/data_ingestion/data/dataset\rain\1632.jpg,rain
artifacts/data_ingestion/data/dataset\rainbow\0762.jpg,rainbow
artifacts/data_ingestion/data/dataset\sandstorm\3172.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1237.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0393.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4140.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2542.jpg,dew
artifacts/data_ingestion/data/dataset\frost\3936.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3164.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rime\5687.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0442.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0352.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6123.jpg,glaze
artifacts/data_ingestion/data/dataset\frost\3810.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3243.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rainbow\0648.jpg,rainbow
artifacts/data_ingestion/data/dataset\frost\3978.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6485.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6395.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6106.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\6089.jpg,rime
artifacts/data_ingestion/data/dataset\snow\0884.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3537.jpg,sandstorm
artifacts/data_ingestion/data/dataset\hail\0300.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0182.jpg,hail
artifacts/data_ingestion/data/dataset\rain\1521.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5071.jpg,rime
artifacts/data_ingestion/data/dataset\frost\3718.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1558.jpg,rain
artifacts/data_ingestion/data/dataset\rain\1737.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2491.jpg,dew
artifacts/data_ingestion/data/dataset\rain\1684.jpg,rain
artifacts/data_ingestion/data/dataset\fogsmog\4882.jpg,fogsmog
artifacts/data_ingestion/data/dataset\fogsmog\4355.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\1052.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1796.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0543.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0432.jpg,hail
artifacts/data_ingestion/data/dataset\rainbow\0646.jpg,rainbow
artifacts/data_ingestion/data/dataset\sandstorm\3425.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\1833.jpg,lightning
artifacts/data_ingestion/data/dataset\rime\5829.jpg,rime
artifacts/data_ingestion/data/dataset\rain\1772.jpg,rain
artifacts/data_ingestion/data/dataset\rainbow\0745.jpg,rainbow
artifacts/data_ingestion/data/dataset\dew\2866.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5515.jpg,rime
artifacts/data_ingestion/data/dataset\dew\2508.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\1839.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0324.jpg,hail
artifacts/data_ingestion/data/dataset\snow\1025.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\2941.jpg,sandstorm
artifacts/data_ingestion/data/dataset\hail\0289.jpg,hail
artifacts/data_ingestion/data/dataset\snow\1083.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3462.jpg,sandstorm
artifacts/data_ingestion/data/dataset\hail\0268.jpg,hail
artifacts/data_ingestion/data/dataset\rainbow\0656.jpg,rainbow
artifacts/data_ingestion/data/dataset\snow\1093.jpg,snow
artifacts/data_ingestion/data/dataset\hail\0409.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2435.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3541.jpg,sandstorm
artifacts/data_ingestion/data/dataset\glaze\6665.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6206.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\5520.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6275.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0776.jpg,rainbow
artifacts/data_ingestion/data/dataset\frost\3954.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2539.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\2197.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3714.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3325.jpg,sandstorm
artifacts/data_ingestion/data/dataset\fogsmog\4825.jpg,fogsmog
artifacts/data_ingestion/data/dataset\glaze\6302.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\1855.jpg,lightning
artifacts/data_ingestion/data/dataset\rime\4995.jpg,rime
artifacts/data_ingestion/data/dataset\rime\5661.jpg,rime
artifacts/data_ingestion/data/dataset\rime\5582.jpg,rime
artifacts/data_ingestion/data/dataset\rain\1620.jpg,rain
artifacts/data_ingestion/data/dataset\rainbow\0660.jpg,rainbow
artifacts/data_ingestion/data/dataset\hail\0575.jpg,hail
artifacts/data_ingestion/data/dataset\frost\3676.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1084.jpg,rain
artifacts/data_ingestion/data/dataset\glaze\6673.jpg,glaze
artifacts/data_ingestion/data/dataset\snow\1091.jpg,snow
artifacts/data_ingestion/data/dataset\rainbow\0649.jpg,rainbow
artifacts/data_ingestion/data/dataset\rime\5068.jpg,rime
artifacts/data_ingestion/data/dataset\fogsmog\4167.jpg,fogsmog
artifacts/data_ingestion/data/dataset\lightning\1842.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\2086.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4762.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rime\5960.jpg,rime
artifacts/data_ingestion/data/dataset\lightning\2178.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6270.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\2082.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6521.jpg,glaze
artifacts/data_ingestion/data/dataset\sandstorm\3354.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2167.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6151.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\2195.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1793.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0264.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4766.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2693.jpg,dew
artifacts/data_ingestion/data/dataset\fogsmog\4618.jpg,fogsmog
artifacts/data_ingestion/data/dataset\hail\0375.jpg,hail
artifacts/data_ingestion/data/dataset\rain\1594.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2807.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\2165.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4419.jpg,fogsmog
artifacts/data_ingestion/data/dataset\sandstorm\3049.jpg,sandstorm
artifacts/data_ingestion/data/dataset\snow\1235.jpg,snow
artifacts/data_ingestion/data/dataset\snow\1358.jpg,snow
artifacts/data_ingestion/data/dataset\rain\1550.jpg,rain
artifacts/data_ingestion/data/dataset\rain\1624.jpg,rain
artifacts/data_ingestion/data/dataset\rainbow\0700.jpg,rainbow
artifacts/data_ingestion/data/dataset\glaze\6434.jpg,glaze
artifacts/data_ingestion/data/dataset\rain\1789.jpg,rain
artifacts/data_ingestion/data/dataset\frost\3823.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6238.jpg,glaze
artifacts/data_ingestion/data/dataset\sandstorm\3562.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3800.jpg,frost
artifacts/data_ingestion/data/dataset\snow\0985.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\2116.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3924.jpg,frost
artifacts/data_ingestion/data/dataset\glaze\6687.jpg,glaze
artifacts/data_ingestion/data/dataset\hail\0334.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0278.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\1942.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3865.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1681.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0493.jpg,hail
artifacts/data_ingestion/data/dataset\frost\3997.jpg,frost
artifacts/data_ingestion/data/dataset\snow\1117.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6193.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\5172.jpg,rime
artifacts/data_ingestion/data/dataset\snow\1107.jpg,snow
artifacts/data_ingestion/data/dataset\snow\0890.jpg,snow
artifacts/data_ingestion/data/dataset\sandstorm\3053.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rime\5497.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0410.jpg,hail
artifacts/data_ingestion/data/dataset\rime\5112.jpg,rime
artifacts/data_ingestion/data/dataset\snow\0941.jpg,snow
artifacts/data_ingestion/data/dataset\dew\2531.jpg,dew
artifacts/data_ingestion/data/dataset\glaze\6555.jpg,glaze
artifacts/data_ingestion/data/dataset\sandstorm\2924.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3839.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\1843.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3661.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3636.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2681.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\2088.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0580.jpg,hail
artifacts/data_ingestion/data/dataset\snow\1171.jpg,snow
artifacts/data_ingestion/data/dataset\fogsmog\4853.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\1003.jpg,snow
artifacts/data_ingestion/data/dataset\fogsmog\4645.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2446.jpg,dew
artifacts/data_ingestion/data/dataset\frost\3968.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1451.jpg,rain
artifacts/data_ingestion/data/dataset\fogsmog\4340.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\1365.jpg,snow
artifacts/data_ingestion/data/dataset\fogsmog\4906.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2497.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2442.jpg,dew
artifacts/data_ingestion/data/dataset\rain\1613.jpg,rain
artifacts/data_ingestion/data/dataset\rain\1108.jpg,rain
artifacts/data_ingestion/data/dataset\rime\6011.jpg,rime
artifacts/data_ingestion/data/dataset\rainbow\0679.jpg,rainbow
artifacts/data_ingestion/data/dataset\frost\4032.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\2198.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4744.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2557.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3419.jpg,sandstorm
artifacts/data_ingestion/data/dataset\rain\1581.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0568.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4495.jpg,fogsmog
artifacts/data_ingestion/data/dataset\sandstorm\3015.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3916.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\2100.jpg,lightning
artifacts/data_ingestion/data/dataset\snow\1266.jpg,snow
artifacts/data_ingestion/data/dataset\rainbow\0718.jpg,rainbow
artifacts/data_ingestion/data/dataset\glaze\6328.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6634.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4884.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\3645.jpg,frost
artifacts/data_ingestion/data/dataset\lightning\2023.jpg,lightning
artifacts/data_ingestion/data/dataset\rime\5210.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0192.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2412.jpg,dew
artifacts/data_ingestion/data/dataset\snow\0867.jpg,snow
artifacts/data_ingestion/data/dataset\rainbow\0734.jpg,rainbow
artifacts/data_ingestion/data/dataset\rainbow\0644.jpg,rainbow
artifacts/data_ingestion/data/dataset\glaze\6644.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\1845.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1779.jpg,rain
artifacts/data_ingestion/data/dataset\sandstorm\3085.jpg,sandstorm
artifacts/data_ingestion/data/dataset\glaze\6199.jpg,glaze
artifacts/data_ingestion/data/dataset\glaze\6421.jpg,glaze
artifacts/data_ingestion/data/dataset\rime\5186.jpg,rime
artifacts/data_ingestion/data/dataset\fogsmog\4779.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2902.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\1977.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4434.jpg,fogsmog
artifacts/data_ingestion/data/dataset\hail\0290.jpg,hail
artifacts/data_ingestion/data/dataset\sandstorm\2974.jpg,sandstorm
artifacts/data_ingestion/data/dataset\snow\1067.jpg,snow
artifacts/data_ingestion/data/dataset\fogsmog\4279.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2797.jpg,dew
artifacts/data_ingestion/data/dataset\snow\1034.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\1875.jpg,lightning
artifacts/data_ingestion/data/dataset\rain\1551.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0057.jpg,hail
artifacts/data_ingestion/data/dataset\fogsmog\4572.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2362.jpg,dew
artifacts/data_ingestion/data/dataset\fogsmog\4443.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rainbow\0671.jpg,rainbow
artifacts/data_ingestion/data/dataset\sandstorm\2917.jpg,sandstorm
artifacts/data_ingestion/data/dataset\snow\1050.jpg,snow
artifacts/data_ingestion/data/dataset\rime\5620.jpg,rime
artifacts/data_ingestion/data/dataset\glaze\6201.jpg,glaze
artifacts/data_ingestion/data/dataset\rain\1440.jpg,rain
artifacts/data_ingestion/data/dataset\dew\2720.jpg,dew
artifacts/data_ingestion/data/dataset\snow\1101.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\1950.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6400.jpg,glaze
artifacts/data_ingestion/data/dataset\sandstorm\3443.jpg,sandstorm
artifacts/data_ingestion/data/dataset\fogsmog\4811.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\0947.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\2152.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0023.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2366.jpg,dew
artifacts/data_ingestion/data/dataset\hail\0408.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0153.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\1864.jpg,lightning
artifacts/data_ingestion/data/dataset\hail\0583.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0468.jpg,hail
artifacts/data_ingestion/data/dataset\rime\5307.jpg,rime
artifacts/data_ingestion/data/dataset\snow\1011.jpg,snow
artifacts/data_ingestion/data/dataset\rime\4942.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0303.jpg,hail
artifacts/data_ingestion/data/dataset\snow\1170.jpg,snow
artifacts/data_ingestion/data/dataset\rainbow\0748.jpg,rainbow
artifacts/data_ingestion/data/dataset\glaze\6298.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0635.jpg,rainbow
artifacts/data_ingestion/data/dataset\frost\3974.jpg,frost
artifacts/data_ingestion/data/dataset\hail\0553.jpg,hail
artifacts/data_ingestion/data/dataset\glaze\6240.jpg,glaze
artifacts/data_ingestion/data/dataset\snow\1184.jpg,snow
artifacts/data_ingestion/data/dataset\hail\0438.jpg,hail
artifacts/data_ingestion/data/dataset\hail\0195.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2390.jpg,dew
artifacts/data_ingestion/data/dataset\lightning\1888.jpg,lightning
artifacts/data_ingestion/data/dataset\sandstorm\3169.jpg,sandstorm
artifacts/data_ingestion/data/dataset\fogsmog\4296.jpg,fogsmog
artifacts/data_ingestion/data/dataset\lightning\2069.jpg,lightning
artifacts/data_ingestion/data/dataset\rime\5248.jpg,rime
artifacts/data_ingestion/data/dataset\lightning\2119.jpg,lightning
artifacts/data_ingestion/data/dataset\fogsmog\4298.jpg,fogsmog
artifacts/data_ingestion/data/dataset\rime\5718.jpg,rime
artifacts/data_ingestion/data/dataset\lightning\2135.jpg,lightning
artifacts/data_ingestion/data/dataset\snow\1014.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6714.jpg,glaze
artifacts/data_ingestion/data/dataset\frost\3696.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1226.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5686.jpg,rime
artifacts/data_ingestion/data/dataset\rainbow\0676.jpg,rainbow
artifacts/data_ingestion/data/dataset\snow\1386.jpg,snow
artifacts/data_ingestion/data/dataset\lightning\1972.jpg,lightning
artifacts/data_ingestion/data/dataset\dew\2386.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5249.jpg,rime
artifacts/data_ingestion/data/dataset\sandstorm\3022.jpg,sandstorm
artifacts/data_ingestion/data/dataset\frost\3770.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3817.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4251.jpg,fogsmog
artifacts/data_ingestion/data/dataset\frost\3744.jpg,frost
artifacts/data_ingestion/data/dataset\sandstorm\3100.jpg,sandstorm
artifacts/data_ingestion/data/dataset\dew\2645.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5750.jpg,rime
artifacts/data_ingestion/data/dataset\rime\5712.jpg,rime
artifacts/data_ingestion/data/dataset\dew\2263.jpg,dew
artifacts/data_ingestion/data/dataset\frost\3764.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2598.jpg,dew
artifacts/data_ingestion/data/dataset\glaze\6108.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0637.jpg,rainbow
artifacts/data_ingestion/data/dataset\frost\3784.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2259.jpg,dew
artifacts/data_ingestion/data/dataset\rain\1526.jpg,rain
artifacts/data_ingestion/data/dataset\lightning\1886.jpg,lightning
artifacts/data_ingestion/data/dataset\sandstorm\3126.jpg,sandstorm
artifacts/data_ingestion/data/dataset\glaze\6527.jpg,glaze
artifacts/data_ingestion/data/dataset\lightning\1937.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\2087.jpg,lightning
artifacts/data_ingestion/data/dataset\lightning\1881.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3709.jpg,frost
artifacts/data_ingestion/data/dataset\rime\5221.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0443.jpg,hail
artifacts/data_ingestion/data/dataset\frost\3910.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1652.jpg,rain
artifacts/data_ingestion/data/dataset\frost\3967.jpg,frost
artifacts/data_ingestion/data/dataset\dew\2396.jpg,dew
artifacts/data_ingestion/data/dataset\rainbow\0645.jpg,rainbow
artifacts/data_ingestion/data/dataset\rain\1254.jpg,rain
artifacts/data_ingestion/data/dataset\hail\0094.jpg,hail
artifacts/data_ingestion/data/dataset\dew\2247.jpg,dew
artifacts/data_ingestion/data/dataset\rime\5701.jpg,rime
artifacts/data_ingestion/data/dataset\sandstorm\2989.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2070.jpg,lightning
artifacts/data_ingestion/data/dataset\glaze\6599.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4082.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2278.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2301.jpg,dew
artifacts/data_ingestion/data/dataset\snow\1355.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6680.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0674.jpg,rainbow
artifacts/data_ingestion/data/dataset\dew\2651.jpg,dew
artifacts/data_ingestion/data/dataset\sandstorm\3496.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2053.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3693.jpg,frost
artifacts/data_ingestion/data/dataset\frost\4000.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3700.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4543.jpg,fogsmog
artifacts/data_ingestion/data/dataset\glaze\6472.jpg,glaze
artifacts/data_ingestion/data/dataset\fogsmog\4169.jpg,fogsmog
artifacts/data_ingestion/data/dataset\snow\1135.jpg,snow
artifacts/data_ingestion/data/dataset\hail\0257.jpg,hail
artifacts/data_ingestion/data/dataset\rain\1645.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5992.jpg,rime
artifacts/data_ingestion/data/dataset\hail\0271.jpg,hail
artifacts/data_ingestion/data/dataset\lightning\1863.jpg,lightning
artifacts/data_ingestion/data/dataset\frost\3653.jpg,frost
artifacts/data_ingestion/data/dataset\fogsmog\4664.jpg,fogsmog
artifacts/data_ingestion/data/dataset\dew\2875.jpg,dew
artifacts/data_ingestion/data/dataset\snow\1183.jpg,snow
artifacts/data_ingestion/data/dataset\snow\1419.jpg,snow
artifacts/data_ingestion/data/dataset\snow\1363.jpg,snow
artifacts/data_ingestion/data/dataset\glaze\6459.jpg,glaze
artifacts/data_ingestion/data/dataset\rainbow\0663.jpg,rainbow
artifacts/data_ingestion/data/dataset\rime\5914.jpg,rime
artifacts/data_ingestion/data/dataset\dew\2455.jpg,dew
artifacts/data_ingestion/data/dataset\dew\2613.jpg,dew
artifacts/data_ingestion/data/dataset\frost\4050.jpg,frost
artifacts/data_ingestion/data/dataset\frost\3828.jpg,frost
artifacts/data_ingestion/data/dataset\rime\5357.jpg,rime
artifacts/data_ingestion/data/dataset\frost\3622.jpg,frost
artifacts/data_ingestion/data/dataset\rain\1674.jpg,rain
artifacts/data_ingestion/data/dataset\rain\1439.jpg,rain
artifacts/data_ingestion/data/dataset\rime\5261.jpg,rime
artifacts/data_ingestion/data/dataset\sandstorm\3167.jpg,sandstorm
artifacts/data_ingestion/data/dataset\lightning\2038.jpg,lightning
artifacts/data_ingestion/data/dataset\sandstorm\3460.jpg,sandstorm
artifacts/data_ingestion/data/dataset\hail\0333.jpg,hail
artifacts/data_ingestion/data/dataset\frost\3999.jpg,frost
